user.id,user.name,timestamp,lon,lat,acc,url,pal1,pal3,pal5
43468415@N00,Jenny+Lee+Silver,2010-06-12T11:23:01Z,-123.101452,49.281419,16,http://www.flickr.com/photos/43468415@N00/4762432981/,#958883,"c(""#D8DBE4"", ""#BBABA2"", ""#5E4B41"")","c(""#8C776E"", ""#2F1D14"", ""#C0C0C6"", ""#B7957E"", ""#D8DBE4"")"
36002836@N00,Kyle+Horner,2010-10-31T14:07:45Z,-123.066444,49.266656,14,http://www.flickr.com/photos/36002836@N00/5134134614/,#56342B,"c(""#987B66"", ""#923328"", ""#16110F"")","c(""#232022"", ""#18110E"", ""#0F0805"", ""#987B66"", ""#923328"")"
60142746@N00,Stephen+Rees,2011-07-01T16:54:13Z,-123.121107,49.249199,16,http://www.flickr.com/photos/60142746@N00/5892536134/,#6A6C64,"c(""#A8ADAE"", ""#929167"", ""#37393D"")","c(""#C3C3BE"", ""#8E989E"", ""#929167"", ""#57575A"", ""#161A1F"")"
84987970@N00,Sweet+One,2013-08-27T13:40:42Z,-123.037834,49.2835,16,http://www.flickr.com/photos/84987970@N00/9652022374/,#7F5E44,"c(""#AB6111"", ""#4F3727"", ""#816E6C"")","c(""#CAB8BC"", ""#976A62"", ""#514B48"", ""#AB6111"", ""#4F3727"")"
35034347371@N01,roland,2013-01-24T08:26:39Z,-123.074459,49.269947,16,http://www.flickr.com/photos/35034347371@N01/8412110556/,#74726F,"c(""#595249"", ""#1C1915"", ""#ADADAF"")","c(""#938D8C"", ""#747675"", ""#575149"", ""#1C1915"", ""#D7D7DA"")"
60377953@N00,apostrophe+suz,2014-04-02T11:50:15Z,-123.139534,49.27135,16,http://www.flickr.com/photos/60377953@N00/13647057934/,#625A54,"c(""#B2B9B9"", ""#8A6B4B"", ""#242124"")","c(""#A68259"", ""#6D635D"", ""#CDD2CC"", ""#8D9DAA"", ""#281E1C"")"
35034347371@N01,roland,2009-08-26T17:54:40Z,-123.1024,49.27376,16,http://www.flickr.com/photos/35034347371@N01/3860155147/,#896F5A,"c(""#634125"", ""#220B04"", ""#CFB79F"")","c(""#B79785"", ""#996F4B"", ""#FDF7ED"", ""#F2D8B7"", ""#412817"")"
30827837@N00,michellerlee,2011-02-12T22:15:43Z,-123.120356,49.277013,15,http://www.flickr.com/photos/30827837@N00/5447444810/,#116042,"c(""#3AA682"", ""#018354"", ""#042C18"")","c(""#87D6BB"", ""#2DBE91"", ""#157858"", ""#018356"", ""#042D17"")"
35034347371@N01,roland,2011-07-17T11:56:08Z,-123.251073,49.26353,16,http://www.flickr.com/photos/35034347371@N01/5948665964/,#63707E,"c(""#A7B2C2"", ""#6788B0"", ""#3D4142"")","c(""#6B747E"", ""#57574E"", ""#181C1C"", ""#A7B2C2"", ""#6788B0"")"
35034347371@N01,roland,2012-05-25T18:10:08Z,-123.07372,49.262494,16,http://www.flickr.com/photos/35034347371@N01/7270823718/,#697782,"c(""#545B5A"", ""#232F3A"", ""#96A8BA"")","c(""#8EC7FE"", ""#AFAEAB"", ""#908D86"", ""#495D75"", ""#2A3433"")"
